row_id	ind	tyv	ru	split
22472	22488	бүрүлер дүже берген	листья облетели	train
29900	29916	барыын үзел	правый уклон	train
42330	42349	чалгыннарын хергеш кылыяр	расправить крылья	train
24915	24931	барааннарны үндүрүп бээри	отпуск товаров	train
3577	3591	Мал ажылы — көдээ ажыл-агыйның чугула адыры	Скотоводство — важная отрасль сельского хозяйства	train
7879	7894	Сугнуң суук каразындан	От воды – родниковой	train
23838	23854	бодунуң	оригинальный	train
7930	7945	Улуг-улуг тайгаларның	Большой-большой тайги	train
18974	18990	австралийжи чогаалчы	австралийский писатель	train
12608	12623	саарзык чыл	високосный год	train
321	335	Республиканың эрге-хоойлу ажылдакчылары чоннуң бо адырга хамаарыштыр сайзыраарынга боттарының талазындан кылыр ужурлуг чүүлдерин кылган база ам-даа кылыр.	Власти республики со своей стороны сделали и продолжают делать все, чтобы наши граждане смогли реализовать себя в этих отраслях.	train
45664	45683	ажынчак	нервный	train
41970	41988	хүлээп алыр комиссия	приёмная комиссия	train
27619	27635	бүдүрүлгениң чепсектери	орудия производства	train
26765	26781	дайзынны чылча шавар	поразить врага	train
33967	33984	тиилелгениң кыйгызы	победный крик	train
13967	13982	изиг дээрезинде	под горячую руку	train
22574	22590	түңнээр	обобщить	train
37641	37659	шыңгыы доңгудар	намылить голову	train
34101	34118	мээң ында бир черлерге кирер херээм бар	мне надо ещё зайти кое-куда	train
35410	35428	соок көрүш	ледяной взгляд	train
27341	27357	килеңнээр	прийти в ярость	train
44563	44582	сөктүрү	наплыв	train
25923	25939	чык долу автобус	переполненный автобус	train
10652	10667	харык чок	бессильный	train
2489	2503	хүлээдип бербээн	не сдать	train
22636	22652	оорлаар	обокрасть	train
24494	24510	бүгү куштерин бээр	отдать все силы	train
17228	17243	дендии коргудар	напугать до смерти	train
3362	3376	Кургаг ааржы 	Сушённый ааржи	train
23079	23095	хүлээлге	обязательство	train
19282	19298	белек үлеп тура бербес	обделить подарками	train
18010	18026	балыгдан хан сыстып тур	кровь сочится из раны	train
27312	27328	күш немээр	придать силы	train
44897	44916	кылайтыр дүрбүүр	навести лоск	train
3732	3746	Аза алзын!	Чёрт возьми!	train
39377	39395	че, дүрген	ну, скорее	train
46164	46184	күрүнениң хамаарышпас чоруунуң статузу	статус независимости государства	train
44652	44671	ёзуургак	напыщенный	train
33126	33143	кымга-даа билдингир алыс шын	азбучная истина	train
24094	24110	ындыг кончуг эвес	не особенно	train
36635	36653	хөй чылдың ажылы	многолетний труд	train
40494	40512	ийи чүс үжен	двести тридцать	train
47263	47284	истекчи	следователь	train
44218	44237	хөлезилээри	наём	train
32634	32650	хөлдүӊ тереӊин хемчээри	измерение глубины озера	train
4497	4511	Баглаар	Связывать	train
12031	12046	идегел	вера	train
46087	46107	профессионал эвилели	профессиональный союз	train
39077	39095	томаанныг чоруур	ходить по ниточке	train
42006	42024	хендирниң ужу	конец верёвки	train
19042	19058	инвалидтерге школа баар	посещать школу для инвалидов	train
44644	44663	хояр	напугаться	train
15213	15228	отту өжүр суг кудар	залить огонь	train
34647	34664	оргаадай	корень жизни	train
1009	1023	Чемге хөңнүм чок-тур.	У меня нет аппетита.	train
23234	23250	озалааш	одиноко	train
33560	33577	ханының сөөлгү дамдызынга чедир демисежир	до последней капли крови	train
10537	10552	камныг	бережный	train
14200	14215	ийи дакпыр хемчээл-биле	в двойном размере	train
1852	1866	инвестиция портфели	инвестиционный портфель	train
16098	16113	хаван өстүрер совхоз	свиноводческий совхоз	train
23147	23163	от	огонь	train
32758	32774	акшалыг болур	иметь деньги	train
26022	26038	чагыглыг чагаа	заказное письмо	train
44126	44145	чоокшулаар	надвинуться	train
30730	30746	оожум сеткилдиг кижи	хладнокровный человек	train
2987	3001	бир эвес келген болзуңза, эки болур ийик	было бы хорошо, если бы ты пришёл	train
42401	42420	ус-тывыш үлетпүрү	кустарная промышленность	train
24254	24270	шай сооган	чай остыл	train
10272	10287	хөөкүй	бедняга	train
20991	21007	шүгүмчүлелдиң чидии	остриё критики	train
37681	37699	олар чаржалажып чугаалап турганнар	они рассказывали наперебой	train
39712	39730	дагыр ыяш	кривое дерево	train
5010	5024	буруузун чазавырлаары 	 заглаживание вины	train
13803	13818	шуут мелегей	глуп как пробка	train
28900	28916	бо платье аңаа эки тааржыр-дыр	это платье хорошо на ней сидит	train
40891	40909	алды чүс чээрби чеди	шестьсот двадцать семь	train
17478	17493	ѳңнүктерни чыыр	собрать друзей	train
31535	31551	эмин эрттир негелделер	чрезмерные требования	train
45812	45831	дүжүт багайы	неурожай	train
25931	25947	буганы кеже халыыр	перепрыгнуть канаву	train
10358	10373	аал-оран чок	бездомный	train
2562	2576	чазыг	ошибка	train
5043	5057	удур келган негелделерни хүлээп алыры 	 зачет встречных требований	train
26600	26616	деп бодаар херек	надо полагать	train
5099	5113	хуусааны санаары 	 исчисление сроков	train
6113	6128	бижектиң чидиг бизиниң ишти 	 брюхо ножа	train
48279	48300	кээргээри	сострадание	train
5548	5562	саарылга 	 сбыт	train
21096	21112	башкыга четтиргенин илередир	отблагодарить учителя	train
6208	6223	даай 	 дядя	train
44440	44459	бары	наличие	train
8311	8326	чүнүң ажыл-херээ турар боор!	какие там дела!	train
43286	43305	идик кедер	надеть обувь	train
2821	2835	шай согаажы	ступка для чая	train
42194	42212	өткүт көрүш	красноречивый взгляд	train
14434	14449	ак чаъс	мелкий дождь	train
44512	44531	эккелген чүүл	нанос	train
45917	45936	доңгая	ничком	train
45792	45811	соксаал чок	неуклонный	train
47550	47571	карактаар	смотреть	train
4492	4506	Баганалыг	С подпоркой	train
23750	23766	хоойлуну парлап үндүрер	опубликовать закон	train
18352	18368	бурунгу славян дыл	старославянский язык	train
24048	24064	медереп билген янзылыг көөрү	осмысленный взгляд	train
3733	3747	Аза алзын!	Чёрт побери!	train
17042	17057	ажык слог	открытый слог	train
30492	30508	айның бирги фазазы	первая фаза луны	train
47218	47239	кошкаа	слабость	train
1964	1978	үндүр санап берген түң	отчисления	train
23054	23070	үжээри	обыск	train
15079	15094	даштыкы паспорт	заграничный паспорт	train
49408	49429	ырымза үнүш	хилое растение	train
24280	24296	дүжер	осыпаться	train
36466	36484	өскениң херээнге холгаарлап киржир	мешаться в чужие дела	train
19261	19277	кым-бир кижини буруудадыр	предъявить обвинение кому-либо	train
40129	40147	дамдыы алдараар	истрепаться	train
26509	26525	орук чоруур мурнунда чемнени тыртып алыр	поесть перед дорогой	train
29849	29865	чиңге хем	узкая река	train
41212	41230	тос чүс дөртен сес	девятьсот сорок восемь	train
42103	42121	квадраттыг дөс	квадратный корень	train
40235	40253	ол келген дараазы-биле	как только он пришёл	train
39278	39296	уттуп болбас	зарубить себе на носу	train
18500	18516	чайгылыш чок кижи	стойкий человек	train
20997	21013	чечен сөстер сөглээр	говорить остроты	train
19349	19365	өгленир	обзавестись семьёй	train
45735	45754	эмге-санчок	несчётный	train
843	857	Чүс чыл	Век	train
12471	12486	хол-даяң алыр	взять голыми руками	train
14010	14025	дагның бажы	гребень горы	train
18175	18191	айтырыг тургустунуп келир	спрашивается	train
12269	12284	хоруушкун	вето	train
15658	15673	амыдырал чоруп тур	жизнь идёт	train
7700	7715	дүрзүзү бол	образцом будь	train
15042	15057	хөделдирер черлиг ойнаарак	игрушка с заводом	train
23509	23525	олимпий	олимпийский	train
36592	36610	менче	ко мне	train
37006	37024	чымчак ойнаарак	мягкая игрушка	train
17544	17559	Министрлер Чөвүлели	Совет Министров	train
18864	18880	болуушкуннуң алыс ужуру	сущность явления	train
31111	31127	өртек чиигелдези	снижение цен	train
16919	16934	мынчаар	следующим образом	train
10189	10204	хоозун чугаа	басня	train
18296	18312	машинаны гаражка тургузар	ставить машину в гараж	train
9033	9048	сигенниг шык	травянистый луг	train
48179	48200	дөртенги	сороковой	train
9363	9378	айыыл диргели берген	сгустились тучи над кем-чем	train
36397	36415	хуу ат орну	личное местоимение	train
8245	8260	чавылдак көгү-биле турбас	трава все зеленой не бывает	train
15892	15907	кады ажылдажылга оларны чоок таныштар кылган	совместная работа сблизила их	train
47286	47307	истелге	следствие	train
8864	8879	хей	газ	train
248	262	Баш бурунгаар дугуржуушкуннар бар – чижээлээрге, кожавыс Моол-биле.	Предварительные договоренности уже есть – к примеру, с сопредельной Монголией.	train
7129	7144	Чыжыргана үзүн ижин-шөйүндүнүң оюлганнаар аарыгларынга удур, өрттенген, үр чытканындан кеш өлүгленген таварылгада балыг үр экиривистей бергенде, чиңгелээнде херел-биле эмнеп турда чергелештир ажыглаар.	Масло облепихи применяются при язвенной болезни желудка, ожогах, пролежнях, долго не заживающих ранах, изменениях слизистой оболочки пищевода при лучевой терапии рака.	train
20138	20154	чааскаан	один-одинёхонек	train
2661	2675	боттандырары	реализация	train
24170	24186	гостиницага доктаар	остановиться в гостинице	train
760	774	Малдың чемгерилгезин организастаар ажылды канчаар чорудуп турар силер?	Какая вами ведется работа по организации кормлении скота?	train
23782	23798	дуржулгага	на опыте	train
21722	21738	өөктү чежер	отстегнуть пуговицу	train
27848	27864	Күш-ажыл	физическая работа	train
22256	22272	чурукту долгандыр шыяр	обвести рисунок	train
33873	33890	кыдат спортчулар	китайские спортсмены	train
36557	36575	диленир	пойти по миру	train
4882	4896	чаа тургустунуп келген байдалдар 	 вновь открывшиеся обстоятельства	train
48567	48588	ыдар	спустить	train
47682	47703	база катап	снова	train
19243	19259	ханга кызыл мыңгы апаар	обагриться кровью	train
26279	26295	хомудал киирер	подать жалобу	train
32785	32802	хөреңгитен аңгылар	имущие классы	train
16628	16643	аът чарыштырар маргылдаалар	скаковые соревнования	train
29589	29605	бертинер	получить увечье	train
42464	42483	сагыш амыр амыдырал	лёгкая жизнь	train
35052	35070	черни долгандыр аян-чорук	кругосветное путешествие	train
45830	45849	четпези	нехватка	train
35842	35860	ол кижи сеңээ чашпаалап тур	он льстит тебе	train
12058	12073	шын	верно	train
12223	12238	бүдүн хүн дыштаныр	отдыхать весь день	train
26319	26335	суг адаанга чоруур хеме	подводная лодка	train
7306	7321	Эштеринге белектерлиг	Подарки для друзей	train
4323	4337	Ооң ашаа	Её муж	train
44003	44022	мен кайнаар-даа барбас мен	я никуда не пойду	train
6785	6800	ижин-шөйүндү	требуха	train
27994	28010	бодалга алзыр	впасть в раздумье	train
25621	25637	парк	парк	train
23394	23410	салыр	оказать	train
28870	28886	берге байдалга таваржыр	сесть на мель	train
21811	21827	ол кичээлдер үспезин кызыдып турар	он пытается не пропускать занятия	train
17556	17571	Совет эрге-чагырга	Советская власть	train
14404	14419	эки шынарлыг барааннар	доброкачественные товары	train
48906	48927	майык	стопа	train
36042	36060	мен мармелад садып алдым	я купил мармелад	train
841	855	Чыл планы	Годовой план	train
10314	10329	дедир эгитпес	безвозвратный	train
32950	32967	шуптузу	без исключения	train
47351	47372	сүт хоюу	сливки	train
91	105	Кым чугаалаарыл?	Кто скажет?	train
45302	45321	билдиртпес	незаметный	train
18206	18222	мажыны базар	спустить курок	train
34932	34949	эки удуур	крепко спать	train
24066	24082	дөжек	основание	train
5357	5371	салбыр 	 отделение	train
43551	43570	хей ажыл	напрасный труд	train
27294	27310	ыяшка чыпшыр багланыр	привязаться к дереву	train
29717	29733	кым-бир кижини когарадыр	ударить по карману кого-либо	train
30150	30166	чаагай дүжүт	высокий урожай	train
10661	10676	бодал чок янзылыг көөрү	бессмысленный взгляд	train
35650	35668	ооң арнындан көөрге-ле билдингир	у него на лице написано	train
10844	10859	чедимчелиг	благополучно	train
7835	7850	акка үндүрүңер	на открытое место выводите	train
4815	4829	апелляция 	 апелляция	train
23978	23994	дорамчылал	оскорбление	train
19884	19900	хөйге билдингир лекция	общедоступная лекция	train
481	495	Силерге байыр чедирип тур мен!	Поздравляю вас!	train
25999	26015	дузак кылыр	завязать петлю	train
13517	13532	берге хүн таварышкан	выпал трудный день	train
21502	21518	бүгү талазы-биле	во всех отношениях	train
652	666	Мен дыл-литература факультединиң ийи дугаар курузунда өөренип турар мен.	Я учусь на втором курсе филологического факультета.	train
32100	32116	үлетпүрнү электрижидер	электрифицировать промышленность	train
31438	31454	дөрт чүс дугаар арын	четырёхсотая страница	train
7029	7044	тыва чоннуң чаңчылы-биле	по-тувинскому народному обычаю	train
1764	1778	амгы байдал	действительность	train
42613	42632	иезин оскунар	лишиться матери	train
23503	23519	картофельдиң довураан коптарып хөмер	окучить картофель	train
24012	24028	бергедедир	осложнить	train
48240	48261	чыглыр	сосредоточиться	train
36788	36806	хевээр ыыттавас	хранить молчание	train
35330	35348	хол	передняя лапа	train
3462	3476	Авансылаашкын	Авансирование	train
40238	40256	дараазында хүн	на другой день	train
28654	28670	Кым-бир кижиге дыңнадыр	довести до сведения кого-либо	train
33805	33822	керамика заводу	керамический завод	train
14772	14787	арының шагар чери	жало осы	train
30472	30488	даг кызаазы	горное ущелье	train
32529	32545	сураглыг херээжен артист	известная артистка	train
21752	21768	лириктиг чартыгыышкын	лирическое отступление	train
31973	31989	шынап	кроме шуток	train
11111	11126	ак-хеп хендирде халаңайнып тур	на веревке болтается бельё	train
28911	28927	хаттың күжү	сила ветра	train
2652	2666	ажыл төлевириниң түңү	размер заработной платы	train
30785	30801	хавааның кирбиин дүндүйтүр	хмурить брови	train
6797	6812	кижен 	конские путы	train
3663	3677	Ажыл кижини азыраар, а чалгаа — аштадыр 	Труд кормит человека, а лень морит голодом	train
35213	35231	каттырынчыг чорук	курам на смех	train
36147	36165	матрос албаны	матросская служба	train
12863	12878	суг	водный	train
38811	38829	дем чок хөделиишкиннер	несогласованные действия	train
26830	26846	чаа тарып каан ыяштар	молодые посадки	train
22012	22028	көстүктүг чылан	очковая змея	train
43340	43359	хоорайның ады	название города	train
48477	48498	маргылдаа	спор	train
14645	14660	тенектенир	валять дурака	train
42230	42248	эрнин чөлбейтир	кривить губы	train
14342	14357	чугаалажыр	вести диалог	train
2022	2036	камгаладылга дадывырларының төлекчизи	плательщик страховых взносов	train
26798	26814	силерге дамчыдарын меңээ дааскан	мне поручено сообщить вам	train
22064	22080	кайгамчык өңгүр чуруктар	необычайно красочные картины	train
10721	10736	кедергей дүргени	бешеная скорость	train
46945	46966	тыртыйтыр	скашивать	train
24115	24131	кыяр-сиген	осока	train
28485	28501	өрт өжүрер резин хоолай	пожарный рукав	train
34903	34920	будуп каан шала	крашеный пол	train
30329	30345	ажар	утереть нос кому-либо	train
14987	15002	чоорган адаанче кирер	забраться под одеяло	train
25965	25981	серини чаарты тудар	перестроить сарай	train
13145	13160	катап сактыр	воспроизвести в памяти	train
19229	19245	уруглар дугайында сагыш човаашкын	забота о детях	train
28778	28794	хоорайны эжелеттирер	сдать город	train
31363	31379	аай эжен!	чёрт возьми!	train
14360	14375	диссертация камгалаар	защищать диссертацию	train
5232	5246	дугуржулганың күш чогу 	 недействительность сделки	train
5412	5426	адакы аңгызы 	 подпункт	train
18157	18173	казапчага илдигер	споткнуться о порог	train
6576	6591	катаптаашкын	повторность	train
47421	47442	хөдел	слуга	train
46734	46755	түү	серия	train
731	745	Бо стол хостуг бе?	Этот стол свободен?	train
29430	29446	аартаар	перевесить	train
660	674	Бисте башкы институду болгаш күрүне университеди бар.	У нас есть педагогический институт и государственный университет.	train
2789	2803	кадагалаары	хранение	train
24985	25001	чиирбейни адырып тарыыр	отсадить отросток	train
28424	28440	элекке божууру	преждевременные роды	train
27661	27677	эмгежок чечектер	пропасть цветов	train
18677	18693	бажың тудар	строить дом	train
41622	41640	ооң-биле танышканывыстан бээр чыл чеде берди	уже год, как мы с ним знакомы	train
28063	28079	билдинмес чүүлдүң ужурун тывары	разрешение загадки	train
26612	26628	фантазияның ужугуушкуну	полёт фантазии	train
1725	1739	ажыктыг керээ	выгодный договор	train
11339	11354	куяк	броня	train
39227	39245	буттуң шыңган эъди	ножной мускул	train
20198	20214	кыска харыы	односложный ответ	train
43400	43419	хана шагар саазыннарны ханага хырбалап чыпшырар	наклеить обои на стену	train
34112	34129	кымны манап тур сен	кого ты ждешь	train
15888	15903	саржаг хоюп ылгалган	масло сгустилось	train
26930	26946	дөжек чадар	постелить постель	train
38529	38547	өйүнде эвес кылыны	ненормальная толщина	train
39255	39273	эрге нормалары	правовые нормы	train
36403	36421	дараазында айда	на следующем месяце	train
16206	16221	дежурныйлаашкынны дужаары	сдача дежурства	train
12393	12408	даштындан көөрге	на взгляд	train
27728	27744	хендирни шөер	протянуть верёвку	train
37984	38002	тулган эзилдириг	насыщенный раствор	train
35629	35647	пальтону аңдара даараар	лицевать пальто	train
47757	47778	сайзыраңгай	совершенный	train
15090	15105	шкафты азыгже шимчедир идер	задвинуть шкаф в угол	train
20781	20797	бүзээлел байдалы	осадное положение	train
44197	44216	дорамчылаар	надругаться	train
35853	35871	чурук тыртарынга ынак кижи	фотограф-любитель	train
37032	37050	даң бажында	на рассвете	train
17718	17733	боду муңганыр	вариться в собственном соку	train
29529	29545	чүвени бодаарының аргажогу	убожество воображения	train
12584	12599	бо талазы-биле буруудадыр кижи чок	в этом некого винить	train
3177	3191	Челээш өңнүг мээң тывам	Радужная моя Тува	train
43251	43270	хей эрттирипкен үезин чедип алыр	нагнать упущенное время	train
33025	33042	бүдүү хөделир	действовать исподтишка	train
4179	4193	Арга-мергежилдиг ажылдакчы 	Квалифицированныйработник	train
13406	13421	холун кадырар	вывихнуть руку	train
29472	29488	иринди	перегной	train
3420	3434	Аас дээр 	Отведывать	train
10166	10181	барометр кудулап тур	барометр падает	train
44629	44648	дорттап	напрямик	train
48164	48185	боштунар	сорваться	train
36206	36224	медицина дузаламчызы	медицинская помощь	train
10149	10164	столду салаалары-биле токкуладыр кагар	барабанить пальцами по столу	train
31907	31923	фотоаппарат штативи	штатив фотоаппарата	train
1750	1764	медээлер	данные	train
18691	18707	дайынчы кезекке тааржыр	годен в строй	train
741	755	Ногаалыг мүн	Овощной суп	train
11687	11702	чалдаан чер	земляная насыпь	train
46740	46761	куу	серый	train
37206	37224	ѳдек садып алыр бис	мы купим навоз	train
47545	47566	дырыштырар	сморщить	train
13134	13149	шаланы воск-биле чаар	натирать пол воском	train
22781	22797	баар	обратиться	train
39937	39955	үш дакпыр	тройной	train
45086	45105	эң күштүг	невероятный	train
46243	46263	чепсектиг үскүлежиишкин	воооружённое столкновение	train
32683	32699	сүт чораан шил	бутылка из-под молока	train
17685	17700	медерелдиг назы	сознательный возраст	train
27252	27268	эш-өөрүнүң дузазын ажыглаар	прибегнуть к помощи друзей	train
31268	31284	бир аяк шай ижер	выпить чашку чая	train
35132	35150	силерге бир кижи чорду	кто-то заходил к вам	train
20969	20985	бажыңынга артып каар	остаться дома	train
30535	30551	феодалдыг тургузуг	феодальный строй	train
39070	39088	көк мөөн апаар	промокнуть до нитки	train
30622	30638	тууйбуну хепке кудары	формовка кирпича	train
11737	11752	ваннага чунар	мыться в ванне	train
40712	40730	дөрт чүс дөртен сес	четыреста сорок восемь	train
1541	1555	солун концерт 	интересный концерт	train
14996	15011	дала бээр	впасть в забытьё	train
21078	21094	чымчадыр каккан котлета	отбивная котлета	train
14279	14294	хемниң дельтазы	дельта реки	train
11452	11467	мүн	бульон	train
8472	8487	илеткелдиң темазы	тема доклада	train
47323	47344	узаныкчы	слесарь	train
1835	1849	күш-ажыл пенсиязының чыылда кезээнге камгаладылганың немелде дадывырлары дээш төлеп турары хемчээлди өскертириниң дугайында билдириишкин	заявление об изменении размера уплачиваемого дополнительного страхового взноса на накопительную часть трудовой пенсии	train
6128	6143	былда 	 запал	train
43112	43131	холдарны чуур	мыть руки	train
33509	33526	олчаан сураг барган	словно в воду канул	train
8844	8859	уран чүүлдүң онзагайлары	тонкости искусства	train
19117	19133	интервью көргүскен	показан интервью	train
13939	13954	доора шугум аайы-биле	по горизонтали	train
22452	22468	намдадыр	облегчить	train
42843	42862	хөй чүвеге күжүн үндүрер	размениваться на мелочи	train
28617	28633	аймаарай бээр	сбиться с толку	train
48690	48711	стандарттыг	стандартный	train
193	207	Бижип алыйн.	Напишу-ка.	train
36937	36955	чаш көк	молодая трава	train
5396	5410	шиитпирниң күүселдезин эргилдирери 	 поворот исполнения решения	train
28184	28200	туман тарамык апарган	туман рассеялся	train
27799	27815	келгей аан	пусть приходит	train
20829	20845	боо шак дүшкен	ружьё дало осечку	train
48097	48118	ёзугаар	соответственно	train
20405	20421	романның уланчызы	окончание романа	train
41255	41273	тос чүс тозан бир	девятьсот девяносто один	train
12924	12939	төрээн чуртунче ээп келир	возвратиться на родину	train
7497	7512	Идиим адып кагбаан-на мен	Обувь свою не оставлял я	train
4917	4931	удур киирген негелде 	 встречный иск	train
12266	12281	демир оруктуң адыры	ветка	train
19768	19784	элээн каш станоктарга ажылдаар	обслуживать несколько станков	train
13588	13603	чүс метр бедикте	на высоте ста метров	train
48470	48491	союп бадар	сползать	train
14440	14455	мен дамчыыр чугаа дыңнадым	до меня дошёл слух	train
17344	17359	хирни чууп кааптар	смыть гряз	train
6202	6217	кыс уруг 	 девушка	train
43110	43129	чуур саваң	хозяйственное мыло	train
1822	1836	хоойлу төлевилели	законопроект	train
46606	46626	эзертээр	седлать	train
29511	29527	камгаланыр чер дилээр	искать убежища	train
10524	10539	камныы	бережливость	train
5650	5664	кеземче хоойлузу 	 уголовный закон	train
19452	19468	моральдыг мөзү-шынар	моральный облик	train
12492	12507	көстүр чер	вид	train
40653	40671	үш чүс сезен тос	триста восемьдесят девять	train
17329	17344	шала-була сагтыышкыннар	смутные воспоминания	train
16921	16936	карак чажы төгүлгүже каттырар	смеяться до слёз	train
35634	35652	арынның дүрзүзү	черты лица	train
25413	25429	хоралыг	пагубный	train
18958	18974	чиг эът	сырое мясо	train
30837	30853	хереглеттингир сөс	ходовое выражение	train
48868	48889	чүс чыл	столетие	train
42761	42780	саржаглыг хлеб	хлеб с маслом	train
45422	45441	үнү чидер	неметь	train
25898	25914	эт-септи бажыңче дажыыр	перенести вещи в дом	train
30738	30754	ажаал-тежээлинге турар	жить на хлебах у кого-либо	train
31005	31021	хроника фильми	хроникальный фильм	train
12230	12245	чүден-даа эки	это лучше всего	train
8560	8575	термоядролуг реакция	термоядерная реакция	train
47383	47404	чугаалаар эрге	слово	train
44111	44130	чүдүрери	нагрузка	train
47051	47072	кайтыгар	скользить	train
31990	32006	харамнанмайн белекке бээр	щедро одарить	train
5659	5673	өске кижиниң эт-хөреңгизин узуткап чок кылыры 	 уничтожение чужого имущества	train
38341	38359	улуг күш	недюжинная сила	train
7246	7261	Аалчы чону көвей болзун	Гостей пусть много будет	train
11288	11303	аарыг кижи дембээреп чыдар	больной в бреду	train
6131	6146	чамык 	 затвор	train
1105	1119	Театр чедир кандыг автобуска олурарыл?	Какой автобус идет до театра?	train
1294	1308	саарзык сапык 	сапог без пары	train
45269	45288	оптуг	неестественный	train
555	569	Орустап чүү дээр ийик?	Как будет по-русски?	train
4702	4716	Бай	Богатый	train
11925	11940	хей-аът кирер	вдохновляться	train
18472	18488	диштерин ызырныр	стиснуть зубы	train
43306	43325	билетти бичии ора тыртып каар	надорвать билет	train
31905	31921	штатты долдурар	пополнить штаты	train
44493	44512	хөмээш	намордник	train
28774	28790	номнарны библиотекага дужаар	сдать книги в библиотеку	train
48754	48775	тутталыр	стать	train
33387	33404	кончуун аа	при возмущении	train
7099	7114	чартык манчы	пельмени половинки	train
4554	4568	Бадырывыт че! 	Ну, спой же!	train
46117	46137	чес биле ак-коргулчун эзилдирии	сплав меди с оловом	train
23310	23326	кадыырадыр	ожесточить	train
5762	5776	чушкуу 	 затылок	train
8963	8978	доп-дораан чедип кээр мен	тотчас приду	train
35836	35854	чиигелде кылыр	предоставить льготу	train
40921	40939	алды чүс бежен чеди	шестьсот пятьдесят семь	train
41575	41593	бичии-даа	ни на йоту	train
16090	16105	байырлыг!	до свидания!	train
6435	6450	боолаар 	стрелять	train
33085	33102	шенелдеге таваржыр	подвергаться испытанию	train
30751	30767	экииргек кижи	хлебосольный человек	train
34020	34037	шынчызын даңгыраглаар	клясться в верности	train
32942	32959	тускай эргелер	исключительные права	train
47228	47249	шоолуг эвес	слабый	train
38173	38191	ялымчок чүве	невелика беда	train
36564	36582	куруг ховуда чиргилчин	мираж в пустыне	train
12597	12612	эриилди киир ээрер	завинтить винт	train
13497	13512	уядан	из гнезда	train
44780	44799	чалгаарадыр	наскучить	train
22957	22973	ниити чуртталга бажыңы	общежитие	train
18003	18019	сөстерниң каттыжыышкыны	сочетание слов	train
13645	13660	мени манаңар	ждите меня	train
